STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530531,96, , ,Q,9999,-9999, , , ,9999,287, , ,Q,9999,100, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530601,0, , ,Q,9999,-9999, , , ,9999,270, , ,Q,9999,118, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530602,23, , ,Q,9999,-9999, , , ,9999,267, , ,Q,9999,115, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530603,210, , ,Q,9999,-9999, , , ,9999,274, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530604,146, , ,Q,9999,-9999, , , ,9999,262, , ,Q,9999,126, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530605,0, , ,Q,9999,-9999, , , ,9999,235, , ,Q,9999,126, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530606,23, , ,Q,9999,-9999, , , ,9999,244, , ,Q,9999,128, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530607,47, , ,Q,9999,-9999, , , ,9999,202, , ,Q,9999,155, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530608,182, , ,Q,9999,-9999, , , ,9999,237, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530609,136, , ,Q,9999,-9999, , , ,9999,253, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530610,272, , ,Q,9999,-9999, , , ,9999,255, , ,Q,9999,135, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530611,0, , ,Q,9999,-9999, , , ,9999,235, , ,Q,9999,143, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530612,0, , ,Q,9999,-9999, , , ,9999,260, , ,Q,9999,135, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530613,96, , ,Q,9999,-9999, , , ,9999,270, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530614,0, , ,Q,9999,-9999, , , ,9999,273, , ,Q,9999,115, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530615,0, , ,Q,9999,-9999, , , ,9999,274, , ,Q,9999,136, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530616,0, , ,Q,9999,-9999, , , ,9999,251, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530617,0, , ,Q,9999,-9999, , , ,9999,257, , ,Q,9999,120, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530618,0, , ,Q,9999,-9999, , , ,9999,284, , ,Q,9999,107, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530619,22, , ,Q,9999,-9999, , , ,9999,262, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530620,185, , ,Q,9999,-9999, , , ,9999,263, , ,Q,9999,135, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530621,0, , ,Q,9999,-9999, , , ,9999,255, , ,Q,9999,142, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530622,32, , ,Q,9999,-9999, , , ,9999,247, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530623,5, , ,Q,9999,-9999, , , ,9999,238, , ,Q,9999,120, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530624,0, , ,Q,9999,-9999, , , ,9999,272, , ,Q,9999,142, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530625,119, , ,Q,9999,-9999, , , ,9999,243, , ,Q,9999,125, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530626,222, , ,Q,9999,-9999, , , ,9999,264, , ,Q,9999,128, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530627,0, , ,Q,9999,-9999, , , ,9999,223, , ,Q,9999,148, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530628,21, , ,Q,9999,-9999, , , ,9999,269, , ,Q,9999,134, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530629,355, , ,Q,9999,-9999, , , ,9999,244, , ,Q,9999,146, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530630,8, , ,Q,9999,-9999, , , ,9999,237, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530701,232, , ,Q,9999,-9999, , , ,9999,225, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530702,0, , ,Q,9999,-9999, , , ,9999,250, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530703,26, , ,Q,9999,-9999, , , ,9999,252, , ,Q,9999,116, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530704,90, , ,Q,9999,-9999, , , ,9999,233, , ,Q,9999,146, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530705,0, , ,Q,9999,-9999, , , ,9999,234, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530706,0, , ,Q,9999,-9999, , , ,9999,248, , ,Q,9999,100, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530707,0, , ,Q,9999,-9999, , , ,9999,222, , ,Q,9999,125, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530708,230, , ,Q,9999,-9999, , , ,9999,220, , ,Q,9999,149, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530709,25, , ,Q,9999,-9999, , , ,9999,200, , ,Q,9999,142, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530710,150, , ,Q,9999,-9999, , , ,9999,250, , ,Q,9999,100, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530711,35, , ,Q,9999,-9999, , , ,9999,215, , ,Q,9999,148, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530712,70, , ,Q,9999,-9999, , , ,9999,212, , ,Q,9999,144, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530713,295, , ,Q,9999,-9999, , , ,9999,240, , ,Q,9999,130, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530714,80, , ,Q,9999,-9999, , , ,9999,233, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530715,15, , ,Q,9999,-9999, , , ,9999,205, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530716,0, , ,Q,9999,-9999, , , ,9999,221, , ,Q,9999,100, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530717,50, , ,Q,9999,-9999, , , ,9999,250, , ,Q,9999,115, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530718,62, , ,Q,9999,-9999, , , ,9999,205, , ,Q,9999,134, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530719,57, , ,Q,9999,-9999, , , ,9999,234, , ,Q,9999,132, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530720,142, , ,Q,9999,-9999, , , ,9999,237, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530721,0, , ,Q,9999,-9999, , , ,9999,220, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530722,0, , ,Q,9999,-9999, , , ,9999,223, , ,Q,9999,135, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530723,102, , ,Q,9999,-9999, , , ,9999,233, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530724,39, , ,Q,9999,-9999, , , ,9999,205, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530725,1, , ,Q,9999,-9999, , , ,9999,213, , ,Q,9999,135, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530726,3, , ,Q,9999,-9999, , , ,9999,235, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530727,96, , ,Q,9999,-9999, , , ,9999,242, , ,Q,9999,145, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530728,82, , ,Q,9999,-9999, , , ,9999,217, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530729,0, , ,Q,9999,-9999, , , ,9999,218, , ,Q,9999,139, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530730,54, , ,Q,9999,-9999, , , ,9999,203, , ,Q,9999,154, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530731,0, , ,Q,9999,-9999, , , ,9999,241, , ,Q,9999,133, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530801,0, , ,Q,9999,-9999, , , ,9999,244, , ,Q,9999,140, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530802,0, , ,Q,9999,-9999, , , ,9999,222, , ,Q,9999,155, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530803,50, , ,Q,9999,-9999, , , ,9999,241, , ,Q,9999,132, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530804,36, , ,Q,9999,-9999, , , ,9999,225, , ,Q,9999,152, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530805,20, , ,Q,9999,-9999, , , ,9999,220, , ,Q,9999,133, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530806,19, , ,Q,9999,-9999, , , ,9999,190, , ,Q,9999,150, , ,Q,9999
GHCND:ET000063402,JIMMA ET,1725,7.667,36.833,19530807,46, , ,Q,9999,-9999, , , ,9999,226, , ,Q,9999,145, , ,Q,9999
